underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2019-05-14,SPXW,2019-05-15,2425.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1770,0.05,2838.63,2839.31,0,0.00,1663,0.05,2799.12,2865.45,0.00,1120,0
^SPX,2019-05-14,SPXW,2019-05-15,2430.000,C,0.00,0.00,0.00,0.00,0,10,407.70,10,409.80,2838.63,2839.31,1,398.80,2,415.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2430.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1020,0.05,2838.63,2839.31,0,0.00,914,0.05,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2440.000,C,0.00,0.00,0.00,0.00,0,10,397.70,10,399.80,2838.63,2839.31,20,388.20,2,405.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2440.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1018,0.05,2838.63,2839.31,0,0.00,913,0.05,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2450.000,C,0.00,0.00,0.00,0.00,0,10,387.70,10,389.80,2838.63,2839.31,20,378.20,2,395.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2450.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1625,0.05,2838.63,2839.31,0,0.00,1520,0.05,2799.12,2865.45,0.00,1365,0
^SPX,2019-05-14,SPXW,2019-05-15,2460.000,C,0.00,0.00,0.00,0.00,0,10,377.70,10,379.80,2838.63,2839.31,1,368.80,2,385.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2460.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1019,0.05,2838.63,2839.31,0,0.00,917,0.05,2799.12,2865.45,0.00,87,0
^SPX,2019-05-14,SPXW,2019-05-15,2470.000,C,0.00,0.00,0.00,0.00,0,10,367.70,10,369.80,2838.63,2839.31,20,358.20,2,375.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2470.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1016,0.05,2838.63,2839.31,0,0.00,914,0.05,2799.12,2865.45,0.00,88,0
^SPX,2019-05-14,SPXW,2019-05-15,2475.000,C,0.00,0.00,0.00,0.00,0,10,362.70,10,364.80,2838.63,2839.31,1,354.10,2,370.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2475.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1357,0.05,2838.63,2839.31,0,0.00,1257,0.05,2799.12,2865.45,0.00,594,0
^SPX,2019-05-14,SPXW,2019-05-15,2480.000,C,0.00,0.00,0.00,0.00,0,10,357.70,10,359.80,2838.63,2839.31,20,348.20,1,365.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2480.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1055,0.05,2838.63,2839.31,0,0.00,956,0.05,2799.12,2865.45,0.00,126,0
^SPX,2019-05-14,SPXW,2019-05-15,2490.000,C,0.00,0.00,0.00,0.00,0,10,347.70,10,349.80,2838.63,2839.31,20,338.20,1,355.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2490.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1094,0.05,2838.63,2839.31,0,0.00,952,0.05,2799.12,2865.45,0.00,221,0
^SPX,2019-05-14,SPXW,2019-05-15,2500.000,C,0.00,0.00,0.00,0.00,0,10,337.70,10,339.80,2838.63,2839.31,20,328.40,1,345.60,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2500.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1559,0.05,2838.63,2839.31,0,0.00,1464,0.05,2799.12,2865.45,0.00,2376,0
^SPX,2019-05-14,SPXW,2019-05-15,2510.000,C,0.00,0.00,0.00,0.00,0,10,327.60,10,329.70,2838.63,2839.31,20,318.40,1,335.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2510.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1077,0.05,2838.63,2839.31,0,0.00,942,0.05,2799.12,2865.45,0.00,305,0
^SPX,2019-05-14,SPXW,2019-05-15,2520.000,C,0.00,0.00,0.00,0.00,0,10,317.60,10,319.70,2838.63,2839.31,20,308.40,1,325.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2520.000,P,0.05,0.05,0.05,0.05,6,0,0.00,1074,0.05,2838.63,2839.31,0,0.00,945,0.05,2799.12,2865.45,0.05,313,0
^SPX,2019-05-14,SPXW,2019-05-15,2525.000,C,0.00,0.00,0.00,0.00,0,10,312.60,10,314.70,2838.63,2839.31,20,303.40,2,320.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2525.000,P,0.05,0.05,0.05,0.05,7,0,0.00,1429,0.05,2838.63,2839.31,0,0.00,1347,0.05,2799.12,2865.45,0.05,978,0
^SPX,2019-05-14,SPXW,2019-05-15,2530.000,C,0.00,0.00,0.00,0.00,0,10,307.60,10,309.70,2838.63,2839.31,20,298.40,1,315.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2530.000,P,0.00,0.00,0.00,0.00,0,0,0.00,1051,0.05,2838.63,2839.31,0,0.00,928,0.05,2799.12,2865.45,0.00,8386,0
^SPX,2019-05-14,SPXW,2019-05-15,2535.000,C,0.00,0.00,0.00,0.00,0,10,302.80,10,304.80,2838.63,2839.31,1,294.10,2,310.90,2799.12,2865.45,0.00,0,0
